,body,head_wear,accessories,tail,teeth
1347,Rainbow_body,Backwards_hat,Earring,Flower_tail,none
1348,Blue_body,Afro,Goggles,Heart_Tail,Human_Teeth
1349,Trippy_body,none,none,Dragon_Tail,Shark_Teeth
1350,Orange_body,Fin,Moustache,Heart_Tail,Braces
1351,Blue_body,none,Moustache,Dragon_Tail,Buck_Tooth
1352,Robot_body,Backwards_hat,none,Dragon_Tail,Buck_Tooth
1353,Yellow_body,none,Wings,Fanned_Tail,Braces
1354,Yellow_body,Beanie,Moustache,Curved_Tail,Braces
1355,Green_body,none,Earring,Pointy_Tail,Shark_Teeth
1356,Green_body,none,Balloon,Pointy_Tail,Buck_Tooth
1357,Green_body,Fin,Cigar,Heart_Tail,none
1358,Yellow_body,Spinner_hat,none,Curved_Tail,Shark_Teeth
1359,Red_body,Spinner_hat,Goggles,Pointy_Tail,Human_Teeth
1360,Red_body,Afro,none,Curved_Tail,none
1361,Scaled_ body,none,Balloon,Curved_Tail,Buck_Tooth
1362,Red_body,Beanie,Cigar,Fanned_Tail,Shark_Teeth
1363,Red_body,Umbrella_hat,none,Pointy_Tail,Braces
1364,Orange_body,Backwards_hat,none,Pointy_Tail,none
1365,Yellow_body,Afro,none,Flower_tail,Braces
1366,Yellow_body,Horns,Moustache,Flower_tail,none
1367,Green_body,none,Balloon,Fanned_Tail,none
1368,Orange_body,Horns,Little_fish,Pointy_Tail,Braces
1369,Green_body,Backwards_hat,Balloon,Fanned_Tail,Braces
1370,Orange_body,none,Earring,Propeller_Tail,none
1371,Orange_body,Backwards_hat,Balloon,Pointy_Tail,Shark_Teeth
1372,Orange_body,Horns,none,Propeller_Tail,Human_Teeth
1373,Black_body,Umbrella_hat,Moustache,Propeller_Tail,Shark_Teeth
1374,Orange_body,Umbrella_hat,none,Propeller_Tail,none
1375,Rainbow_body,none,none,Propeller_Tail,none
1376,Red_body,Horns,none,Pointy_Tail,Braces
1377,Alien_body,none,Goggles,Pointy_Tail,Buck_Tooth
1378,Green_body,Beanie,none,Propeller_Tail,none
1379,Scaled_ body,Backwards_hat,Moustache,Curved_Tail,Shark_Teeth
1380,Blue_body,Umbrella_hat,none,Curved_Tail,Buck_Tooth
1381,Green_body,none,Moustache,Heart_Tail,Shark_Teeth
1382,Red_body,Afro,Goggles,Dragon_Tail,Gold_grill
1383,Green_body,none,Wings,Pointy_Tail,none
1384,Rainbow_body,Backwards_hat,Balloon,Fanned_Tail,Braces
1385,Red_body,none,Balloon,Flower_tail,Shark_Teeth
1386,Black_body,none,Balloon,Pointy_Tail,none
1387,Rainbow_body,Afro,Moustache,Pointy_Tail,Braces
1388,Scaled_ body,Spinner_hat,none,Curved_Tail,Shark_Teeth
1389,Scaled_ body,Afro,Balloon,Dragon_Tail,none
1390,Orange_body,Umbrella_hat,Earring,Curved_Tail,Shark_Teeth
1391,Trippy_body,none,none,Pointy_Tail,Gold_grill
1392,Rainbow_body,Backwards_hat,Wings,Fanned_Tail,Gold_grill
1393,Red_body,Umbrella_hat,Earring,Dragon_Tail,Buck_Tooth
1394,Green_body,none,Moustache,Jet_Tail,Shark_Teeth
1395,Red_body,Top_hat,none,Fanned_Tail,Human_Teeth
1396,Red_body,Horns,none,Fanned_Tail,Buck_Tooth
1397,Alien_body,none,Earring,Fanned_Tail,none
1398,Rainbow_body,Backwards_hat,none,Flower_tail,Shark_Teeth
1399,Red_body,Umbrella_hat,none,Propeller_Tail,Buck_Tooth
1400,Red_body,Afro,none,Fanned_Tail,Shark_Teeth
1401,Blue_body,Beanie,Earring,Heart_Tail,Human_Teeth
1402,Yellow_body,Beanie,none,Fanned_Tail,none
1403,Blue_body,none,Earring,Heart_Tail,Gold_grill
1404,Blue_body,Umbrella_hat,Earring,Heart_Tail,none
1405,Trippy_body,Beanie,Moustache,Dragon_Tail,Human_Teeth
1406,Yellow_body,Beanie,Earring,Fanned_Tail,none
1407,Trippy_body,Afro,Balloon,Curved_Tail,Buck_Tooth
1408,Alien_body,Horns,Earring,Curved_Tail,none
1409,Green_body,Backwards_hat,Little_fish,Curved_Tail,none
1410,Alien_body,Fin,Moustache,Fanned_Tail,none
1411,Orange_body,Backwards_hat,none,Curved_Tail,Buck_Tooth
1412,Red_body,Backwards_hat,none,Jet_Tail,Shark_Teeth
1413,Orange_body,Backwards_hat,Cigar,Fanned_Tail,Buck_Tooth
1414,Green_body,Umbrella_hat,none,Pointy_Tail,none
1415,Scaled_ body,none,Balloon,Pointy_Tail,none
1416,Rainbow_body,Umbrella_hat,none,Pointy_Tail,Human_Teeth
1417,Blue_body,Horns,Balloon,Heart_Tail,none
1418,Orange_body,Umbrella_hat,Balloon,Fanned_Tail,Buck_Tooth
1419,Scaled_ body,Horns,none,Heart_Tail,Buck_Tooth
1420,Orange_body,Backwards_hat,Cigar,Heart_Tail,Shark_Teeth
1421,Orange_body,none,none,Heart_Tail,Shark_Teeth
1422,Blue_body,none,Cigar,Fanned_Tail,Braces
1423,Blue_body,Beanie,Earring,Fanned_Tail,Shark_Teeth
1424,Scaled_ body,Beanie,Moustache,Curved_Tail,none
1425,Red_body,none,Goggles,Pointy_Tail,none
1426,Green_body,Horns,Moustache,Pointy_Tail,none
1427,Blue_body,Afro,none,Heart_Tail,Human_Teeth
1428,Orange_body,none,Balloon,Curved_Tail,Gold_grill
1429,Scaled_ body,Fin,none,Heart_Tail,Buck_Tooth
1430,Trippy_body,Backwards_hat,none,Fanned_Tail,none
1431,Blue_body,Fin,Earring,Pointy_Tail,Buck_Tooth
1432,Trippy_body,Top_hat,Moustache,Fanned_Tail,none
1433,Orange_body,Backwards_hat,none,Heart_Tail,none
1434,Alien_body,Umbrella_hat,Cigar,Flower_tail,Buck_Tooth
1435,Green_body,Top_hat,none,Pointy_Tail,Shark_Teeth
1436,Blue_body,Afro,Balloon,Propeller_Tail,none
1437,Alien_body,Fin,none,Flower_tail,Shark_Teeth
1438,Trippy_body,Afro,Wings,Pointy_Tail,Shark_Teeth
1439,Yellow_body,Backwards_hat,none,Pointy_Tail,none
1440,Red_body,Beanie,Earring,Curved_Tail,none
1441,Green_body,Backwards_hat,Earring,Pointy_Tail,Buck_Tooth
1442,Scaled_ body,none,Cigar,Jet_Tail,Braces
1443,Red_body,Backwards_hat,Goggles,Flower_tail,Braces
1444,Rainbow_body,none,none,Fanned_Tail,none
1445,Green_body,Beanie,none,Flower_tail,Human_Teeth
1446,Blue_body,Umbrella_hat,none,Curved_Tail,none
1447,Red_body,Backwards_hat,Earring,Heart_Tail,Buck_Tooth
1448,Scaled_ body,Fin,none,Dragon_Tail,Gold_grill
1449,Green_body,Fin,Goggles,Curved_Tail,Shark_Teeth
1450,Green_body,Spinner_hat,none,Flower_tail,Braces
1451,Blue_body,Top_hat,Goggles,Heart_Tail,Human_Teeth
1452,Orange_body,Afro,Wings,Pointy_Tail,Shark_Teeth
1453,Red_body,none,Balloon,Curved_Tail,Buck_Tooth
1454,Green_body,Backwards_hat,Wings,Pointy_Tail,Human_Teeth
1455,Robot_body,Horns,Balloon,Fanned_Tail,Human_Teeth
1456,Green_body,Backwards_hat,Balloon,Curved_Tail,none
1457,Green_body,Backwards_hat,Moustache,Heart_Tail,Braces
1458,Orange_body,Horns,none,Flower_tail,Buck_Tooth
1459,Red_body,Beanie,none,Flower_tail,Gold_grill
1460,Orange_body,none,none,Fanned_Tail,Human_Teeth
1461,Blue_body,Beanie,none,Heart_Tail,Shark_Teeth
1462,Green_body,none,Cigar,Heart_Tail,none
1463,Green_body,Spinner_hat,none,Pointy_Tail,Buck_Tooth
1464,Green_body,none,Earring,Fanned_Tail,none
1465,Blue_body,Backwards_hat,none,Dragon_Tail,Buck_Tooth
1466,Red_body,Backwards_hat,none,Curved_Tail,none
1467,Blue_body,Beanie,Cigar,Propeller_Tail,Buck_Tooth
1468,Blue_body,Backwards_hat,Cigar,Fanned_Tail,Buck_Tooth
1469,Trippy_body,Horns,none,Fanned_Tail,Human_Teeth
1470,Red_body,Backwards_hat,Little_fish,Pointy_Tail,none
1471,Blue_body,Beanie,none,Pointy_Tail,Human_Teeth
1472,Trippy_body,Backwards_hat,Cigar,Curved_Tail,none
1473,Red_body,Horns,Goggles,Flower_tail,Shark_Teeth
1474,Yellow_body,Afro,Goggles,Fanned_Tail,none
1475,Blue_body,Umbrella_hat,none,Pointy_Tail,Buck_Tooth
1476,Rainbow_body,none,none,Flower_tail,Gold_grill
1477,Orange_body,Backwards_hat,Moustache,Curved_Tail,Shark_Teeth
1478,Green_body,Backwards_hat,Moustache,Curved_Tail,none
1479,Blue_body,Top_hat,Balloon,Pointy_Tail,Human_Teeth
1480,Red_body,Beanie,Balloon,Curved_Tail,none
1481,Red_body,Horns,Goggles,Fanned_Tail,Braces
1482,Orange_body,Spinner_hat,none,Pointy_Tail,none
1483,Orange_body,Backwards_hat,none,Fanned_Tail,Shark_Teeth
1484,Red_body,Beanie,Earring,Pointy_Tail,Gold_grill
1485,Blue_body,Horns,Earring,Dragon_Tail,none
1486,Blue_body,Umbrella_hat,Earring,Curved_Tail,Shark_Teeth
1487,Blue_body,Fin,Wings,Pointy_Tail,Braces
1488,Trippy_body,Beanie,Balloon,Curved_Tail,none
1489,Rainbow_body,Beanie,Moustache,Dragon_Tail,Human_Teeth
1490,Blue_body,Spinner_hat,none,Propeller_Tail,Shark_Teeth
1491,Green_body,none,Wings,Curved_Tail,Buck_Tooth
1492,Orange_body,Umbrella_hat,none,Propeller_Tail,Braces
1493,Green_body,Backwards_hat,none,Dragon_Tail,Human_Teeth
1494,Trippy_body,Beanie,none,Propeller_Tail,Gold_grill
1495,Yellow_body,Top_hat,Earring,Curved_Tail,Shark_Teeth
1496,Trippy_body,none,none,Propeller_Tail,Buck_Tooth
1497,Alien_body,none,Goggles,Pointy_Tail,none
1498,Rainbow_body,Backwards_hat,none,Fanned_Tail,Gold_grill
1499,Yellow_body,Backwards_hat,Goggles,Fanned_Tail,Buck_Tooth
1500,Yellow_body,Beanie,Cigar,Fanned_Tail,Braces
1501,Blue_body,Beanie,none,Dragon_Tail,Braces
1502,Scaled_ body,Beanie,Earring,Flower_tail,Gold_grill
1503,Scaled_ body,Fin,none,Curved_Tail,none
1504,Black_body,Afro,none,Pointy_Tail,Buck_Tooth
1505,Blue_body,none,Cigar,Pointy_Tail,Human_Teeth
1506,Blue_body,Fin,none,Fanned_Tail,none
1507,Gold_body,Horns,none,Heart_Tail,none
1508,Red_body,Beanie,Goggles,Flower_tail,Gold_grill
1509,Trippy_body,Backwards_hat,none,Jet_Tail,Shark_Teeth
1510,Orange_body,Fin,Wings,Fanned_Tail,Buck_Tooth
1511,Blue_body,none,Earring,Dragon_Tail,none
1512,Yellow_body,Top_hat,none,Heart_Tail,Buck_Tooth
1513,Red_body,none,Balloon,Pointy_Tail,none
1514,Trippy_body,Beanie,Earring,Curved_Tail,Buck_Tooth
1515,Green_body,none,Little_fish,Pointy_Tail,Gold_grill
1516,Alien_body,none,none,Propeller_Tail,Human_Teeth
1517,Trippy_body,Top_hat,Little_fish,Heart_Tail,Buck_Tooth
1518,Green_body,Afro,none,Jet_Tail,Buck_Tooth
1519,Green_body,Backwards_hat,Cigar,Fanned_Tail,Shark_Teeth
1520,Blue_body,none,none,Heart_Tail,Shark_Teeth
1521,Red_body,Afro,none,Curved_Tail,Braces
1522,Yellow_body,Horns,Cigar,Curved_Tail,none
1523,Orange_body,Backwards_hat,Goggles,Curved_Tail,Buck_Tooth
1524,Scaled_ body,Spinner_hat,Balloon,Heart_Tail,Buck_Tooth
1525,Red_body,Umbrella_hat,Earring,Flower_tail,Human_Teeth
1526,Green_body,Backwards_hat,Earring,Fanned_Tail,none
1527,Orange_body,Umbrella_hat,Earring,Fanned_Tail,Buck_Tooth
1528,Robot_body,Umbrella_hat,none,Jet_Tail,Braces
1529,Robot_body,none,Balloon,Curved_Tail,Buck_Tooth
1530,Yellow_body,Beanie,Balloon,Dragon_Tail,none
1531,Blue_body,Horns,Moustache,Heart_Tail,Braces
1532,Robot_body,Fin,Cigar,Heart_Tail,none
1533,Red_body,Beanie,none,Pointy_Tail,Buck_Tooth
1534,Orange_body,none,none,Flower_tail,Buck_Tooth
1535,Orange_body,Umbrella_hat,Wings,Curved_Tail,none
1536,Green_body,none,none,Fanned_Tail,Gold_grill
1537,Blue_body,Fin,none,Fanned_Tail,Human_Teeth
1538,Green_body,none,none,Dragon_Tail,Shark_Teeth
1539,Orange_body,Backwards_hat,Goggles,Pointy_Tail,none
1540,Green_body,Beanie,Earring,Flower_tail,Buck_Tooth
1541,Rainbow_body,none,none,Curved_Tail,Shark_Teeth
1542,Orange_body,Backwards_hat,Moustache,Curved_Tail,Human_Teeth
1543,Scaled_ body,Umbrella_hat,Moustache,Heart_Tail,Braces
1544,Trippy_body,Fin,Earring,Fanned_Tail,Gold_grill
1545,Red_body,none,Wings,Curved_Tail,Buck_Tooth
1546,Red_body,Horns,Earring,Pointy_Tail,Human_Teeth
1547,Blue_body,Spinner_hat,none,Heart_Tail,Shark_Teeth
1548,Blue_body,Beanie,none,Propeller_Tail,none
1549,Blue_body,Umbrella_hat,none,Curved_Tail,Shark_Teeth
1550,Blue_body,Fin,Earring,Dragon_Tail,Shark_Teeth
1551,Red_body,none,none,Pointy_Tail,Shark_Teeth
1552,Orange_body,Spinner_hat,none,Heart_Tail,Buck_Tooth
1553,Yellow_body,Backwards_hat,Goggles,Propeller_Tail,Braces
1554,Red_body,Beanie,Cigar,Fanned_Tail,Gold_grill
1555,Red_body,Horns,Moustache,Fanned_Tail,Braces
1556,Red_body,Backwards_hat,Goggles,Flower_tail,Shark_Teeth
1557,Red_body,none,Earring,Jet_Tail,Human_Teeth
1558,Yellow_body,Backwards_hat,Earring,Dragon_Tail,Shark_Teeth
1559,Black_body,Afro,none,Curved_Tail,Shark_Teeth
1560,Green_body,none,Balloon,Curved_Tail,Buck_Tooth
1561,Orange_body,Backwards_hat,Goggles,Pointy_Tail,Shark_Teeth
1562,Yellow_body,Fin,none,Dragon_Tail,none
1563,Orange_body,Horns,Goggles,Heart_Tail,Buck_Tooth
1564,Green_body,Afro,Cigar,Dragon_Tail,Human_Teeth
1565,Scaled_ body,Spinner_hat,none,Fanned_Tail,Braces
1566,Trippy_body,Umbrella_hat,none,Pointy_Tail,Braces
1567,Green_body,Beanie,Goggles,Heart_Tail,none
1568,Orange_body,Umbrella_hat,Cigar,Pointy_Tail,none
1569,Red_body,Umbrella_hat,none,Dragon_Tail,Shark_Teeth
1570,Red_body,Backwards_hat,Cigar,Curved_Tail,none
1571,Scaled_ body,Beanie,Moustache,Pointy_Tail,Braces
1572,Trippy_body,Afro,Cigar,Heart_Tail,Braces
1573,Black_body,none,none,Propeller_Tail,Shark_Teeth
1574,Green_body,none,none,Curved_Tail,Buck_Tooth
1575,Blue_body,Fin,Wings,Curved_Tail,Buck_Tooth
1576,Scaled_ body,none,Moustache,Pointy_Tail,Human_Teeth
1577,Green_body,none,none,Curved_Tail,Human_Teeth
1578,Trippy_body,none,Moustache,Curved_Tail,Buck_Tooth
1579,Red_body,none,Moustache,Jet_Tail,Shark_Teeth
1580,Yellow_body,Beanie,none,Jet_Tail,none
1581,Green_body,Backwards_hat,Balloon,Pointy_Tail,Shark_Teeth
1582,Gold_body,Spinner_hat,none,Dragon_Tail,Gold_grill
1583,Rainbow_body,Fin,none,Heart_Tail,Buck_Tooth
1584,Red_body,Umbrella_hat,Moustache,Curved_Tail,none
1585,Trippy_body,Beanie,Earring,Curved_Tail,none
1586,Scaled_ body,Backwards_hat,Earring,Curved_Tail,Braces
1587,Scaled_ body,Beanie,none,Dragon_Tail,Buck_Tooth
1588,Rainbow_body,Fin,none,Propeller_Tail,none
1589,Green_body,none,Goggles,Pointy_Tail,Shark_Teeth
1590,Red_body,none,Cigar,Pointy_Tail,none
1591,Black_body,none,none,Fanned_Tail,none
1592,Orange_body,Backwards_hat,Balloon,Curved_Tail,none
1593,Green_body,Fin,Cigar,Jet_Tail,Shark_Teeth
1594,Orange_body,none,none,Propeller_Tail,none
1595,Red_body,Horns,none,Dragon_Tail,Shark_Teeth
1596,Rainbow_body,Umbrella_hat,Wings,Fanned_Tail,Shark_Teeth
1597,Red_body,Beanie,none,Pointy_Tail,none
1598,Blue_body,Horns,Earring,Curved_Tail,Buck_Tooth
1599,Yellow_body,none,none,Dragon_Tail,Human_Teeth
1600,Green_body,Umbrella_hat,Little_fish,Jet_Tail,none
1601,Blue_body,none,Goggles,Propeller_Tail,Human_Teeth
1602,Rainbow_body,Umbrella_hat,none,Pointy_Tail,Shark_Teeth
1603,Robot_body,Afro,none,Dragon_Tail,Shark_Teeth
1604,Green_body,Fin,none,Curved_Tail,Buck_Tooth
1605,Yellow_body,Horns,Moustache,Flower_tail,Shark_Teeth
1606,Blue_body,Beanie,Balloon,Pointy_Tail,Buck_Tooth
1607,Red_body,Beanie,Moustache,Heart_Tail,Gold_grill
1608,Red_body,Fin,none,Curved_Tail,none
1609,Scaled_ body,Fin,none,Curved_Tail,Buck_Tooth
1610,Orange_body,none,Earring,Flower_tail,Shark_Teeth
1611,Red_body,Spinner_hat,Cigar,Fanned_Tail,none
1612,Green_body,none,Moustache,Dragon_Tail,none
1613,Orange_body,Umbrella_hat,Cigar,Pointy_Tail,Shark_Teeth
1614,Orange_body,Backwards_hat,Goggles,Heart_Tail,Human_Teeth
1615,Scaled_ body,none,none,Flower_tail,none
1616,Rainbow_body,Fin,none,Pointy_Tail,Gold_grill
1617,Blue_body,Afro,Earring,Jet_Tail,none
1618,Green_body,none,none,Jet_Tail,Gold_grill
1619,Orange_body,Backwards_hat,Earring,Heart_Tail,Buck_Tooth
1620,Red_body,Backwards_hat,Earring,Fanned_Tail,none
1621,Green_body,Afro,Little_fish,Pointy_Tail,Shark_Teeth
1622,Red_body,none,none,Curved_Tail,Human_Teeth
1623,Rainbow_body,none,Balloon,Pointy_Tail,Human_Teeth
1624,Blue_body,none,Moustache,Curved_Tail,none
1625,Rainbow_body,none,Cigar,Curved_Tail,Shark_Teeth
1626,Orange_body,Beanie,Little_fish,Curved_Tail,Shark_Teeth
1627,Orange_body,Afro,Balloon,Heart_Tail,Buck_Tooth
1628,Scaled_ body,Beanie,Cigar,Fanned_Tail,Gold_grill
1629,Blue_body,Backwards_hat,none,Propeller_Tail,Buck_Tooth
1630,Red_body,Top_hat,none,Curved_Tail,Human_Teeth
1631,Red_body,Beanie,none,Curved_Tail,Braces
1632,Blue_body,Spinner_hat,Balloon,Pointy_Tail,Shark_Teeth
1633,Trippy_body,Horns,Cigar,Heart_Tail,none
1634,Scaled_ body,Afro,Cigar,Propeller_Tail,Buck_Tooth
1635,Yellow_body,Afro,Earring,Flower_tail,Shark_Teeth
1636,Rainbow_body,Horns,none,Dragon_Tail,Braces
1637,Blue_body,Umbrella_hat,Balloon,Curved_Tail,Braces
1638,Scaled_ body,Fin,Earring,Pointy_Tail,Human_Teeth
1639,Yellow_body,Beanie,Goggles,Pointy_Tail,Shark_Teeth
1640,Orange_body,none,Earring,Dragon_Tail,Buck_Tooth
1641,Green_body,Afro,Earring,Flower_tail,none
1642,Yellow_body,Afro,Cigar,Pointy_Tail,none
1643,Scaled_ body,Spinner_hat,Cigar,Fanned_Tail,Buck_Tooth
1644,Blue_body,Backwards_hat,Earring,Heart_Tail,Shark_Teeth
1645,Trippy_body,Fin,none,Fanned_Tail,Buck_Tooth
1646,Orange_body,Horns,none,Curved_Tail,Buck_Tooth
1647,Yellow_body,Spinner_hat,Cigar,Pointy_Tail,Shark_Teeth
1648,Robot_body,Backwards_hat,Wings,Curved_Tail,Buck_Tooth
1649,Red_body,Backwards_hat,none,Propeller_Tail,none
1650,Alien_body,none,Cigar,Fanned_Tail,Braces
1651,Blue_body,Backwards_hat,Cigar,Curved_Tail,Shark_Teeth
1652,Rainbow_body,Beanie,none,Jet_Tail,Braces
1653,Yellow_body,Backwards_hat,Little_fish,Pointy_Tail,Braces
1654,Rainbow_body,Backwards_hat,none,Propeller_Tail,Shark_Teeth
1655,Blue_body,Top_hat,none,Pointy_Tail,none
1656,Green_body,Beanie,Goggles,Pointy_Tail,Shark_Teeth
1657,Green_body,Horns,none,Heart_Tail,none
1658,Yellow_body,Horns,none,Flower_tail,none
1659,Red_body,none,none,Propeller_Tail,Buck_Tooth
1660,Yellow_body,Beanie,Wings,Flower_tail,Buck_Tooth
1661,Orange_body,Backwards_hat,Balloon,Fanned_Tail,Buck_Tooth
1662,Orange_body,Afro,Moustache,Flower_tail,Buck_Tooth
1663,Green_body,Fin,Balloon,Fanned_Tail,Gold_grill
1664,Rainbow_body,Backwards_hat,Goggles,Fanned_Tail,none
1665,Red_body,Backwards_hat,none,Heart_Tail,Braces
1666,Scaled_ body,none,Balloon,Fanned_Tail,Shark_Teeth
1667,Orange_body,none,none,Pointy_Tail,none
1668,Yellow_body,Backwards_hat,Cigar,Pointy_Tail,Buck_Tooth
1669,Green_body,Afro,Earring,Curved_Tail,Gold_grill
1670,Green_body,Umbrella_hat,Goggles,Pointy_Tail,Shark_Teeth
1671,Rainbow_body,none,Earring,Fanned_Tail,none
1672,Blue_body,Beanie,Balloon,Propeller_Tail,none
1673,Blue_body,Fin,none,Pointy_Tail,Buck_Tooth
1674,Red_body,none,Moustache,Fanned_Tail,Gold_grill
1675,Green_body,Backwards_hat,Earring,Propeller_Tail,none
1676,Orange_body,Afro,Earring,Dragon_Tail,Buck_Tooth
1677,Gold_body,Afro,Cigar,Curved_Tail,none
1678,Yellow_body,Backwards_hat,none,Jet_Tail,none
1679,Green_body,none,none,Jet_Tail,Buck_Tooth
1680,Scaled_ body,Fin,none,Pointy_Tail,none
1681,Blue_body,Horns,none,Fanned_Tail,Human_Teeth
1682,Alien_body,Umbrella_hat,Moustache,Fanned_Tail,none
1683,Trippy_body,Beanie,Wings,Curved_Tail,none
1684,Scaled_ body,Backwards_hat,Moustache,Curved_Tail,Braces
1685,Scaled_ body,Afro,none,Heart_Tail,none
1686,Robot_body,Beanie,none,Flower_tail,none
1687,Green_body,Fin,Earring,Propeller_Tail,Shark_Teeth
1688,Yellow_body,Afro,Earring,Curved_Tail,Shark_Teeth
1689,Green_body,Backwards_hat,Earring,Pointy_Tail,Human_Teeth
1690,Blue_body,Fin,Cigar,Pointy_Tail,Buck_Tooth
1691,Yellow_body,none,Goggles,Flower_tail,Buck_Tooth
1692,Green_body,Beanie,none,Fanned_Tail,Buck_Tooth
1693,Orange_body,none,none,Fanned_Tail,Braces
1694,Rainbow_body,none,Balloon,Pointy_Tail,Buck_Tooth
1695,Scaled_ body,Spinner_hat,Balloon,Dragon_Tail,Shark_Teeth
1696,Green_body,Umbrella_hat,Earring,Pointy_Tail,Human_Teeth
1697,Blue_body,Umbrella_hat,none,Flower_tail,none
1698,Yellow_body,none,Goggles,Curved_Tail,Shark_Teeth
1699,Scaled_ body,Beanie,none,Curved_Tail,none
1700,Blue_body,none,Little_fish,Flower_tail,Buck_Tooth
1701,Black_body,none,Wings,Fanned_Tail,Gold_grill
1702,Blue_body,Backwards_hat,none,Pointy_Tail,Buck_Tooth
1703,Orange_body,Backwards_hat,Balloon,Fanned_Tail,Gold_grill
1704,Green_body,Afro,none,Heart_Tail,Buck_Tooth
1705,Orange_body,Beanie,none,Flower_tail,Buck_Tooth
1706,Green_body,Umbrella_hat,Cigar,Flower_tail,Buck_Tooth
1707,Yellow_body,Afro,Balloon,Pointy_Tail,Shark_Teeth
1708,Red_body,none,Goggles,Pointy_Tail,Shark_Teeth
1709,Red_body,Backwards_hat,none,Flower_tail,none
1710,Green_body,Fin,none,Fanned_Tail,Buck_Tooth
1711,Red_body,Beanie,Earring,Fanned_Tail,Human_Teeth
1712,Red_body,Afro,none,Dragon_Tail,none
1713,Black_body,Umbrella_hat,Earring,Pointy_Tail,Buck_Tooth
1714,Blue_body,Backwards_hat,none,Fanned_Tail,Braces
1715,Orange_body,none,Little_fish,Curved_Tail,Buck_Tooth
1716,Trippy_body,Backwards_hat,Balloon,Curved_Tail,Human_Teeth
1717,Yellow_body,Backwards_hat,Moustache,Fanned_Tail,none
1718,Blue_body,Afro,Earring,Curved_Tail,none
1719,Scaled_ body,Backwards_hat,Earring,Pointy_Tail,Shark_Teeth
1720,Green_body,none,Wings,Fanned_Tail,Shark_Teeth
1721,Yellow_body,Beanie,Moustache,Dragon_Tail,Shark_Teeth
1722,Blue_body,none,Moustache,Heart_Tail,Shark_Teeth
1723,Orange_body,Backwards_hat,none,Pointy_Tail,Buck_Tooth
1724,Red_body,Backwards_hat,Goggles,Flower_tail,Human_Teeth
1725,Red_body,Fin,Earring,Pointy_Tail,none
1726,Green_body,Beanie,Cigar,Fanned_Tail,Buck_Tooth
1727,Green_body,Umbrella_hat,Little_fish,Propeller_Tail,Human_Teeth
1728,Red_body,none,Wings,Flower_tail,Buck_Tooth
1729,Black_body,Backwards_hat,none,Fanned_Tail,none
1730,Orange_body,Backwards_hat,none,Heart_Tail,Buck_Tooth
1731,Yellow_body,Backwards_hat,Moustache,Propeller_Tail,Shark_Teeth
1732,Scaled_ body,Beanie,Balloon,Curved_Tail,Buck_Tooth
1733,Yellow_body,Beanie,Moustache,Curved_Tail,none
1734,Robot_body,none,none,Flower_tail,Buck_Tooth
1735,Rainbow_body,none,none,Curved_Tail,Human_Teeth
1736,Green_body,none,none,Heart_Tail,none
1737,Yellow_body,none,Balloon,Pointy_Tail,Braces
1738,Red_body,Backwards_hat,Balloon,Curved_Tail,Shark_Teeth
1739,Trippy_body,none,none,Pointy_Tail,Shark_Teeth
1740,Black_body,Afro,Balloon,Fanned_Tail,none
1741,Orange_body,Beanie,none,Fanned_Tail,Buck_Tooth
1742,Yellow_body,none,Balloon,Curved_Tail,Shark_Teeth
1743,Yellow_body,none,none,Flower_tail,Gold_grill
1744,Rainbow_body,none,Earring,Pointy_Tail,Braces
1745,Yellow_body,Backwards_hat,Cigar,Pointy_Tail,Human_Teeth
1746,Red_body,Umbrella_hat,none,Curved_Tail,none
1747,Blue_body,none,Earring,Dragon_Tail,Human_Teeth
1748,Blue_body,Afro,none,Pointy_Tail,none
1749,Yellow_body,Beanie,none,Dragon_Tail,Human_Teeth
1750,Black_body,Umbrella_hat,Moustache,Fanned_Tail,Buck_Tooth
1751,Blue_body,Backwards_hat,Balloon,Heart_Tail,Gold_grill
1752,Red_body,none,Earring,Heart_Tail,Gold_grill
1753,Red_body,Umbrella_hat,Wings,Heart_Tail,Human_Teeth
1754,Blue_body,Beanie,none,Dragon_Tail,none
1755,Blue_body,Beanie,none,Curved_Tail,Braces
1756,Orange_body,Backwards_hat,Cigar,Flower_tail,Buck_Tooth
1757,Orange_body,none,none,Curved_Tail,Gold_grill
1758,Red_body,Top_hat,Balloon,Fanned_Tail,none
1759,Green_body,Beanie,Balloon,Pointy_Tail,Shark_Teeth
1760,Orange_body,none,Goggles,Pointy_Tail,none
1761,Rainbow_body,none,none,Fanned_Tail,Buck_Tooth
1762,Blue_body,Umbrella_hat,Cigar,Flower_tail,none
1763,Blue_body,Horns,none,Propeller_Tail,none
1764,Blue_body,Beanie,Moustache,Flower_tail,Shark_Teeth
1765,Scaled_ body,none,Earring,Curved_Tail,Buck_Tooth
1766,Orange_body,Spinner_hat,Earring,Pointy_Tail,Buck_Tooth
1767,Rainbow_body,Horns,none,Curved_Tail,Human_Teeth
1768,Yellow_body,Fin,Moustache,Propeller_Tail,Braces
1769,Blue_body,Umbrella_hat,none,Heart_Tail,Buck_Tooth
1770,Scaled_ body,Afro,none,Propeller_Tail,Buck_Tooth
1771,Green_body,Umbrella_hat,Earring,Curved_Tail,Human_Teeth
1772,Orange_body,Horns,Goggles,Dragon_Tail,none
1773,Orange_body,Afro,Cigar,Dragon_Tail,Shark_Teeth
